filterType,params,variance,latency,rawThresh,filtThresh,peakRaw,peakFilt
exponential,α=0.0330,1.5842,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0340,1.5859,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0350,1.5873,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0360,1.5882,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0370,1.5888,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0380,1.5891,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0390,1.5891,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0400,1.5889,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0410,1.5886,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0420,1.5880,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0430,1.5873,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0440,1.5865,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0450,1.5856,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0460,1.5846,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0470,1.5836,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0480,1.5825,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0490,1.5813,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0500,1.5802,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0510,1.5790,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0520,1.5778,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0530,1.5767,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0540,1.5755,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0550,1.5744,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0560,1.5732,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0570,1.5722,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0580,1.5711,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0590,1.5701,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0600,1.5691,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0610,1.5682,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0620,1.5673,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0630,1.5664,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0640,1.5656,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0650,1.5649,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0660,1.5642,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0670,1.5636,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0680,1.5630,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0690,1.5624,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0700,1.5620,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0710,1.5615,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0720,1.5612,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0730,1.5608,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0740,1.5606,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0750,1.5604,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0760,1.5602,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0770,1.5601,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0780,1.5600,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0790,1.5600,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0800,1.5601,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0810,1.5602,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0820,1.5603,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0830,1.5605,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0840,1.5607,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0850,1.5610,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0860,1.5614,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0870,1.5618,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0880,1.5622,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0890,1.5627,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0900,1.5632,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0910,1.5637,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0920,1.5643,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0930,1.5650,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0940,1.5657,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0950,1.5664,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0960,1.5671,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0970,1.5679,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0980,1.5688,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0990,1.5697,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1000,1.5706,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1010,1.5715,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1020,1.5725,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1030,1.5735,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1040,1.5746,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1050,1.5756,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1060,1.5768,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1070,1.5779,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1080,1.5791,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1090,1.5803,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1100,1.5815,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1110,1.5828,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1120,1.5841,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1130,1.5854,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1140,1.5867,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1150,1.5881,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1160,1.5895,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1170,1.5909,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1180,1.5924,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1190,1.5938,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1200,1.5953,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1210,1.5968,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1220,1.5984,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1230,1.6000,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1240,1.6015,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1250,1.6031,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1260,1.6048,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1270,1.6064,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1280,1.6081,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1290,1.6098,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1300,1.6115,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1310,1.6132,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1320,1.6150,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1330,1.6167,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1340,1.6185,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1350,1.6203,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1360,1.6221,0.00,0.00,0.00,315.12,315.12
exponential,α=0.1370,1.6240,0.00,0.00,0.00,315.12,315.12
