GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
108,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,3,58.5,193.05,225,3,3.8305,376.15,776.51,429.01,522.21,151.83,640.00,292.50,1213565.20,1213671.20,1217501.70
109,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,4,58.5,193.05,90,4,5.2704,348.04,503.49,155.99,631.21,479.75,503.49,349.04,1218085.00,1218135.20,1223405.60
110,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,5,58.5,193.05,270,5,5.2160,371.63,640.00,485.55,637.05,113.93,640.00,292.50,1223988.90,1225112.90,1230328.90
111,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,6,58.5,193.05,135,6,7.8174,380.80,640.00,99.45,506.25,455.99,503.49,235.96,1230925.40,1230969.70,1238787.10
112,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,7,58.5,193.05,315,7,3.8426,387.95,503.49,429.01,785.47,162.55,640.00,292.50,1239344.90,1239892.40,1243735.00
113,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,2,0,78.97500000000001,146.25,0,0,4.6487,124.79,640.00,292.50,764.79,292.06,786.25,292.50,1250000.20,1250792.90,1255441.60
114,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,2,1,78.97500000000001,146.25,180,1,3.1848,316.93,786.25,292.50,469.37,298.35,640.00,292.50,1255989.70,1256304.70,1259489.50
115,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,2,2,78.97500000000001,146.25,45,2,3.1983,306.65,493.75,292.50,782.87,394.68,597.16,395.91,1260075.10,1260762.90,1263961.20
116,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,2,3,78.97500000000001,146.25,225,3,5.5707,298.23,743.41,395.91,528.59,189.06,640.00,292.50,1264510.10,1265137.00,1270707.70
117,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,2,4,78.97500000000001,146.25,90,4,2.9435,253.60,536.59,189.09,627.53,425.82,536.59,335.34,1271273.40,1272322.80,1275266.30
118,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,2,5,78.97500000000001,146.25,270,5,5.9017,290.10,640.00,438.75,627.12,148.94,640.00,292.50,1275833.60,1276662.00,1282563.70
