GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
64,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,7,63.300000000000004,208.89000000000001,315,7,9.1260,402.63,535.29,464.21,823.67,183.23,683.00,316.50,881163.50,882131.00,891257.00
65,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,0,85.45500000000001,158.25,0,0,3.0145,185.17,683.00,316.50,865.14,349.84,841.25,316.50,897896.10,898190.70,901205.20
66,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,1,85.45500000000001,158.25,180,1,6.7395,319.60,841.25,316.50,523.79,353.39,683.00,316.50,901743.30,901769.30,908508.80
67,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,2,85.45500000000001,158.25,45,2,12.4524,282.42,524.75,316.50,788.05,418.65,636.65,428.40,909029.20,909029.90,921482.30
68,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,3,85.45500000000001,158.25,225,3,4.8376,348.75,794.90,428.40,532.66,198.49,683.00,316.50,922042.40,923206.60,928044.20
69,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,4,85.45500000000001,158.25,90,4,2.3890,291.74,571.10,204.60,675.96,476.84,571.10,362.85,928564.00,929938.20,932327.20
70,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,5,85.45500000000001,158.25,270,5,4.0717,325.12,683.00,474.75,720.76,151.83,683.00,316.50,932890.10,933523.80,937595.50
71,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,6,85.45500000000001,158.25,135,6,6.4244,264.34,683.00,158.25,568.52,396.52,571.10,270.15,938159.40,938190.40,944614.80
72,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,7,85.45500000000001,158.25,315,7,2.2911,330.56,571.10,428.40,803.86,193.67,683.00,316.50,945162.20,945536.40,947827.50
73,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,0,85.45500000000001,208.89000000000001,0,0,3.2088,210.54,683.00,316.50,893.11,302.97,891.89,316.50,958581.60,959725.30,962934.10
74,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,1,85.45500000000001,208.89000000000001,180,1,1.7007,391.64,891.89,316.50,500.34,324.90,683.00,316.50,963491.90,964060.60,965761.30
75,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,2,85.45500000000001,208.89000000000001,45,2,6.9418,414.76,474.11,316.50,860.77,466.56,621.82,464.21,966324.80,967261.50,974203.30
76,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,3,85.45500000000001,208.89000000000001,225,3,2.1348,444.46,830.71,464.21,538.93,128.93,683.00,316.50,974720.30,975876.30,978011.10
77,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,4,85.45500000000001,208.89000000000001,90,4,12.5418,393.56,535.29,168.79,678.58,535.34,535.29,377.68,978555.60,979843.80,992385.60
78,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,5,85.45500000000001,208.89000000000001,270,5,9.3463,397.54,683.00,525.39,677.96,127.88,683.00,316.50,992928.30,993828.90,1003175.20
79,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,6,85.45500000000001,208.89000000000001,135,6,3.7156,377.66,683.00,107.61,508.32,442.44,535.29,255.32,1003683.30,1004885.80,1008601.40
80,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,7,85.45500000000001,208.89000000000001,315,7,3.3093,446.11,535.29,464.21,866.05,164.84,683.00,316.50,1009147.80,1010006.40,1013315.70
81,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,0,107.61000000000001,158.25,0,0,2.8877,200.48,683.00,316.50,883.45,319.90,841.25,316.50,1023543.80,1024739.90,1027627.60
82,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,1,107.61000000000001,158.25,180,1,1.9600,324.59,841.25,316.50,516.77,324.87,683.00,316.50,1028169.60,1029058.90,1031018.90
83,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,2,107.61000000000001,158.25,45,2,2.3630,279.54,524.75,316.50,788.38,409.44,636.65,428.40,1031557.60,1032322.40,1034685.40
84,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,3,107.61000000000001,158.25,225,3,2.7352,334.60,794.90,428.40,580.43,171.58,683.00,316.50,1035237.30,1035974.30,1038709.50
85,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,4,107.61000000000001,158.25,90,4,1.5438,304.67,571.10,204.60,672.33,491.96,571.10,362.85,1039258.80,1040127.70,1041671.50
86,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,5,107.61000000000001,158.25,270,5,1.9347,284.01,683.00,474.75,689.86,190.82,683.00,316.50,1042250.10,1043799.70,1045734.40
87,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,6,107.61000000000001,158.25,135,6,2.8191,308.65,683.00,158.25,533.22,428.12,571.10,270.15,1046260.50,1047861.20,1050680.30
88,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,7,107.61000000000001,158.25,315,7,2.6408,329.03,571.10,428.40,798.91,190.99,683.00,316.50,1051233.80,1052322.40,1054963.20
89,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,0,107.61000000000001,208.89000000000001,0,0,1.7768,232.06,683.00,316.50,914.76,304.87,891.89,316.50,1062803.60,1063660.90,1065437.70
90,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,1,107.61000000000001,208.89000000000001,180,1,4.0815,396.80,891.89,316.50,495.96,342.70,683.00,316.50,1065974.00,1066963.20,1071044.70
91,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,2,107.61000000000001,208.89000000000001,45,2,4.3790,359.27,474.11,316.50,806.55,452.74,621.82,464.21,1071596.00,1071628.20,1076007.20
92,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,3,107.61000000000001,208.89000000000001,225,3,2.8076,400.42,830.71,464.21,541.60,187.17,683.00,316.50,1076549.00,1077295.90,1080103.50
93,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,4,107.61000000000001,208.89000000000001,90,4,1.8108,351.47,535.29,168.79,672.53,492.36,535.29,377.68,1080650.90,1082099.60,1083910.40
94,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,5,107.61000000000001,208.89000000000001,270,5,4.9441,374.79,683.00,525.39,687.93,150.63,683.00,316.50,1084465.80,1084498.90,1089443.00
